t,theta_ref,omega_ref,theta_heun,omega_heun,theta_rk4,omega_rk4,theta_abm,omega_abm
0.000000,1.570796326795e+00,0.000000000000e+00,1.570796326795e+00,0.000000000000e+00,1.570796326795e+00,0.000000000000e+00,1.570796326795e+00,0.000000000000e+00
1.000000,-9.841521720458e-01,-2.042710343110e+00,-9.842448733874e-01,-2.042129379329e+00,-9.841521685600e-01,-2.042710369111e+00,-9.841522315822e-01,-2.042710221491e+00
2.000000,3.121755209705e-01,2.810251044367e+00,3.125769664676e-01,2.809487754140e+00,3.121755011795e-01,2.810251086530e+00,3.121755885393e-01,2.810251113693e+00
3.000000,1.806288020030e-01,-2.545081533430e+00,1.799587248351e-01,-2.544947408737e+00,1.806288350573e-01,-2.545081543583e+00,1.806287492808e-01,-2.545081666897e+00
4.000000,-4.558647500739e-01,1.852074438997e+00,-4.551074433222e-01,1.852925770760e+00,-4.558647885609e-01,1.852074400075e+00,-4.558647000755e-01,1.852074591550e+00
5.000000,5.616293503910e-01,-1.100662247263e+00,5.609786457653e-01,-1.102461569827e+00,5.616293847394e-01,-1.100662170398e+00,5.616293099599e-01,-1.100662466293e+00
6.000000,-5.546584544921e-01,4.418863372979e-01,-5.542601418105e-01,4.444061502133e-01,-5.546584782553e-01,4.418862259040e-01,-5.546584388515e-01,4.418866199915e-01
7.000000,4.807226822870e-01,7.069275921826e-02,4.806545913524e-01,6.778800086212e-02,4.807226915302e-01,7.069289151130e-02,4.807227005409e-01,7.069244479977e-02
8.000000,-3.736777166407e-01,-4.248997119008e-01,-3.739493727946e-01,-4.219940323149e-01,-3.736777100946e-01,-4.248998489168e-01,-3.736777689501e-01,-4.248994105365e-01
9.000000,2.574995727587e-01,6.307035990459e-01,2.580641851539e-01,6.281557360618e-01,2.574995522941e-01,6.307037246278e-01,2.574996531949e-01,6.307033502690e-01
10.000000,-1.481542841884e-01,-7.113763469203e-01,-1.489278904296e-01,-7.094548732542e-01,-1.481542529586e-01,-7.113764479808e-01,-1.481543827022e-01,-7.113761764595e-01
11.000000,5.518191433465e-02,6.966288110124e-01,5.606403518192e-02,6.954797384077e-01,5.518187622301e-02,6.966288792643e-01,5.518201956837e-02,6.966287296565e-01
12.000000,1.684577325647e-02,-6.169583972264e-01,1.595438952978e-02,-6.166069598448e-01,1.684581350017e-02,-6.169584300379e-01,1.684567137834e-02,-6.169584037550e-01
13.000000,-6.698338582332e-02,4.998360713508e-01,-6.616803150196e-02,5.002098576793e-01,-6.698342400547e-02,4.998360713813e-01,-6.698329582793e-02,4.998361559917e-01
14.000000,9.674262440693e-02,-3.677729327540e-01,9.606709965761e-02,-3.687325845745e-01,9.674265770914e-02,-3.677729039747e-01,9.674255301433e-02,-3.677730773654e-01
15.000000,-1.091325477065e-01,2.377593846517e-01,-1.086360732510e-01,2.391286011147e-01,-1.091325741228e-01,2.377593342308e-01,-1.091324987368e-01,2.377595686896e-01
16.000000,1.079081849186e-01,-1.214915014539e-01,1.076057781042e-01,-1.230830873139e-01,1.079082033727e-01,-1.214914373356e-01,1.079081593825e-01,-1.214917033666e-01
17.000000,-9.700502411592e-02,2.597816671388e-02,-9.689040146379e-02,2.761522099850e-02,-9.700503436126e-02,2.597809543733e-02,-9.700502051116e-02,2.597836509667e-02
18.000000,8.013327532603e-02,4.568276358401e-02,8.018342054718e-02,4.415091502985e-02,8.013327786980e-02,4.568283452913e-02,8.013329026121e-02,4.568258501644e-02
19.000000,-6.050937797143e-02,-9.345827549650e-02,-6.068996555225e-02,-9.214577272715e-02,-6.050937413759e-02,-9.345833984463e-02,-6.050940709118e-02,-9.345812836615e-02
20.000000,4.070507432365e-02,1.195243604133e-01,4.097600686788e-02,1.185041899504e-01,4.070506543420e-02,1.195244148467e-01,4.070511238137e-02,1.195242526369e-01
